n,method,error
10000,NIV$_{3 \textrm{ lags}}$,0.0001251024498042586
100,"CIV$_{I,X,Y}$",0.08126378139152325
100,CIV$_{I}$,30.58872770191539
100,NIV$_{1 \textrm{ lag}}$,0.34705210851517554
100,NIV$_{3 \textrm{ lags}}$,0.09400057034496254
1000,"CIV$_{I,X,Y}$",0.0043532404366389684
1000,CIV$_{I}$,0.015317273244967936
1000,NIV$_{1 \textrm{ lag}}$,0.002546010028176467
1000,NIV$_{3 \textrm{ lags}}$,0.00276188910724903
10000,"CIV$_{I,X,Y}$",0.00038130686948224416
10000,CIV$_{I}$,0.002280774210413101
10000,NIV$_{1 \textrm{ lag}}$,0.0006290081664494672
10000,NIV$_{3 \textrm{ lags}}$,0.0002332471552136965
100,"CIV$_{I,X,Y}$",0.0295919606839793
100,CIV$_{I}$,0.03182427281754242
100,NIV$_{1 \textrm{ lag}}$,0.09894937273017389
100,NIV$_{3 \textrm{ lags}}$,0.036808203386681365
1000,"CIV$_{I,X,Y}$",0.003048653830867033
1000,CIV$_{I}$,0.003506863228142141
1000,NIV$_{1 \textrm{ lag}}$,0.0020608313883475064
1000,NIV$_{3 \textrm{ lags}}$,0.0021718077839213224
10000,"CIV$_{I,X,Y}$",0.00024467793715936167
10000,CIV$_{I}$,0.0003703180860210678
10000,NIV$_{1 \textrm{ lag}}$,0.000224701736582406
10000,NIV$_{3 \textrm{ lags}}$,0.00016429930309485712
100,"CIV$_{I,X,Y}$",0.027013468443347156
100,CIV$_{I}$,0.03643655063128061
100,NIV$_{1 \textrm{ lag}}$,0.012145460220430589
100,NIV$_{3 \textrm{ lags}}$,0.01276480236016921
1000,"CIV$_{I,X,Y}$",0.0021393653797478355
1000,CIV$_{I}$,0.004230745652122643
1000,NIV$_{1 \textrm{ lag}}$,0.0014835864939386379
1000,NIV$_{3 \textrm{ lags}}$,0.0008471664998625532
10000,"CIV$_{I,X,Y}$",0.00038768019958494856
10000,CIV$_{I}$,0.000545891092987944
10000,NIV$_{1 \textrm{ lag}}$,9.810043980190172e-05
10000,NIV$_{3 \textrm{ lags}}$,8.081100001139625e-05
100,"CIV$_{I,X,Y}$",0.2566307925950649
100,CIV$_{I}$,0.6849295595812964
100,NIV$_{1 \textrm{ lag}}$,0.2955757369049834
100,NIV$_{3 \textrm{ lags}}$,0.08069415422744344
1000,"CIV$_{I,X,Y}$",0.011048594527249166
1000,CIV$_{I}$,0.03251629883645511
1000,NIV$_{1 \textrm{ lag}}$,0.04858178212732349
1000,NIV$_{3 \textrm{ lags}}$,0.015141136751964723
10000,"CIV$_{I,X,Y}$",0.0011833699045488255
10000,CIV$_{I}$,0.002283070531841441
10000,NIV$_{1 \textrm{ lag}}$,0.0009963591652931308
10000,NIV$_{3 \textrm{ lags}}$,0.0007241034258374607
100,"CIV$_{I,X,Y}$",0.00873948237305193
100,CIV$_{I}$,0.15266279471078267
100,NIV$_{1 \textrm{ lag}}$,0.03331247322110487
100,NIV$_{3 \textrm{ lags}}$,0.04090139201699661
1000,"CIV$_{I,X,Y}$",0.003056097350495837
1000,CIV$_{I}$,0.007579141468943654
1000,NIV$_{1 \textrm{ lag}}$,0.009606954985301067
1000,NIV$_{3 \textrm{ lags}}$,0.004854611702937493
10000,"CIV$_{I,X,Y}$",0.000541177827612872
10000,CIV$_{I}$,0.0013328143696924913
10000,NIV$_{1 \textrm{ lag}}$,0.0008084235986678051
10000,NIV$_{3 \textrm{ lags}}$,0.00041508253881705444
100,"CIV$_{I,X,Y}$",0.23084780667739596
100,CIV$_{I}$,0.9144811280225248
100,NIV$_{1 \textrm{ lag}}$,0.11130298999111513
100,NIV$_{3 \textrm{ lags}}$,0.0327518277528499
1000,"CIV$_{I,X,Y}$",0.03913715723197472
1000,CIV$_{I}$,0.04553606753704161
1000,NIV$_{1 \textrm{ lag}}$,0.17640377384948872
1000,NIV$_{3 \textrm{ lags}}$,0.002639736625356209
10000,"CIV$_{I,X,Y}$",0.002747919012546827
10000,CIV$_{I}$,0.006055288702334373
10000,NIV$_{1 \textrm{ lag}}$,0.003461171691442068
10000,NIV$_{3 \textrm{ lags}}$,0.0001707964129826585
100,"CIV$_{I,X,Y}$",0.04029278187760515
100,CIV$_{I}$,1.209414382986616
100,NIV$_{1 \textrm{ lag}}$,0.03471747868146678
100,NIV$_{3 \textrm{ lags}}$,0.008043762718138916
1000,"CIV$_{I,X,Y}$",0.007540976688583605
1000,CIV$_{I}$,0.2916986821468729
1000,NIV$_{1 \textrm{ lag}}$,0.05052838572347611
1000,NIV$_{3 \textrm{ lags}}$,0.0015207522180298418
10000,"CIV$_{I,X,Y}$",0.00044697314390787876
10000,CIV$_{I}$,0.07796340538785265
10000,NIV$_{1 \textrm{ lag}}$,0.0015642254728389787
10000,NIV$_{3 \textrm{ lags}}$,8.836335760084463e-05
100,"CIV$_{I,X,Y}$",0.03866337318039354
100,CIV$_{I}$,0.08005547843437576
100,NIV$_{1 \textrm{ lag}}$,0.025875923908791527
100,NIV$_{3 \textrm{ lags}}$,0.048582569948231534
1000,"CIV$_{I,X,Y}$",0.0027043879104563075
1000,CIV$_{I}$,0.007283080880301014
1000,NIV$_{1 \textrm{ lag}}$,0.0021857558598737735
1000,NIV$_{3 \textrm{ lags}}$,0.0027384484893041043
10000,"CIV$_{I,X,Y}$",0.000275777976049427
10000,CIV$_{I}$,0.0006238315920217309
10000,NIV$_{1 \textrm{ lag}}$,0.0001554404955704346
10000,NIV$_{3 \textrm{ lags}}$,0.00035042889240110523
100,"CIV$_{I,X,Y}$",1.7617272184195767
100,CIV$_{I}$,1.489778358775498
100,NIV$_{1 \textrm{ lag}}$,4.219716512429045
100,NIV$_{3 \textrm{ lags}}$,0.16116502490204934
1000,"CIV$_{I,X,Y}$",0.07586858502525445
1000,CIV$_{I}$,0.03978327949689024
1000,NIV$_{1 \textrm{ lag}}$,0.08145417902238777
1000,NIV$_{3 \textrm{ lags}}$,0.015200431725882979
10000,"CIV$_{I,X,Y}$",0.008620659141672902
10000,CIV$_{I}$,0.015129776031043754
10000,NIV$_{1 \textrm{ lag}}$,0.00413964984808624
10000,NIV$_{3 \textrm{ lags}}$,0.0005352670940562616
100,"CIV$_{I,X,Y}$",0.6480746271434698
100,CIV$_{I}$,1.1602773274199463
100,NIV$_{1 \textrm{ lag}}$,3.693615371044195
100,NIV$_{3 \textrm{ lags}}$,0.12473603418795301
1000,"CIV$_{I,X,Y}$",0.014797335123243906
1000,CIV$_{I}$,0.029060325139935235
1000,NIV$_{1 \textrm{ lag}}$,0.01098329963202566
1000,NIV$_{3 \textrm{ lags}}$,0.008856538129043443
10000,"CIV$_{I,X,Y}$",0.000699293365298779
10000,CIV$_{I}$,0.0020515882229370287
10000,NIV$_{1 \textrm{ lag}}$,0.0005977675194649061
10000,NIV$_{3 \textrm{ lags}}$,0.0004380293383612607
100,"CIV$_{I,X,Y}$",0.17537932823896937
100,CIV$_{I}$,8.891893148255958
100,NIV$_{1 \textrm{ lag}}$,0.7858065271849549
100,NIV$_{3 \textrm{ lags}}$,0.04802526796528054
1000,"CIV$_{I,X,Y}$",0.01708443250429654
1000,CIV$_{I}$,2.972182919752204
1000,NIV$_{1 \textrm{ lag}}$,1.0695555859249353
1000,NIV$_{3 \textrm{ lags}}$,0.0026970640428645404
10000,"CIV$_{I,X,Y}$",0.0016920419350446032
10000,CIV$_{I}$,0.11018881570786176
10000,NIV$_{1 \textrm{ lag}}$,0.02443868243127485
10000,NIV$_{3 \textrm{ lags}}$,0.0003879206557271954
100,"CIV$_{I,X,Y}$",0.027235993221423914
100,CIV$_{I}$,0.03904227660827077
100,NIV$_{1 \textrm{ lag}}$,0.041286736502985276
100,NIV$_{3 \textrm{ lags}}$,0.024869083002184197
1000,"CIV$_{I,X,Y}$",0.0027607050810685265
1000,CIV$_{I}$,0.0035193275494043936
1000,NIV$_{1 \textrm{ lag}}$,0.001523460408400437
1000,NIV$_{3 \textrm{ lags}}$,0.0012445061174614694
10000,"CIV$_{I,X,Y}$",0.000244301134059825
10000,CIV$_{I}$,0.0003180799231983943
10000,NIV$_{1 \textrm{ lag}}$,9.661888905585731e-05
10000,NIV$_{3 \textrm{ lags}}$,0.00010114756292964871
100,"CIV$_{I,X,Y}$",0.23948671597470197
100,CIV$_{I}$,2.0693658850389594
100,NIV$_{1 \textrm{ lag}}$,5.482802958863681
100,NIV$_{3 \textrm{ lags}}$,0.06709825547401808
1000,"CIV$_{I,X,Y}$",0.016217887479597338
1000,CIV$_{I}$,0.15626491093104716
1000,NIV$_{1 \textrm{ lag}}$,242.03201202018107
1000,NIV$_{3 \textrm{ lags}}$,0.00598494350443006
10000,"CIV$_{I,X,Y}$",0.0019172144976206198
10000,CIV$_{I}$,0.002002372131090173
10000,NIV$_{1 \textrm{ lag}}$,0.0019896296241446705
10000,NIV$_{3 \textrm{ lags}}$,0.0006628622990627346
100,"CIV$_{I,X,Y}$",21.467626600757693
100,CIV$_{I}$,8.629446788459795
100,NIV$_{1 \textrm{ lag}}$,1.102666684964395
100,NIV$_{3 \textrm{ lags}}$,0.8201165844116307
1000,"CIV$_{I,X,Y}$",0.6810364268158777
1000,CIV$_{I}$,0.766630355539377
1000,NIV$_{1 \textrm{ lag}}$,0.44279097423470004
1000,NIV$_{3 \textrm{ lags}}$,0.08220724597607397
10000,"CIV$_{I,X,Y}$",0.0219506687685874
10000,CIV$_{I}$,0.043838747826840926
10000,NIV$_{1 \textrm{ lag}}$,0.020311611716315604
10000,NIV$_{3 \textrm{ lags}}$,0.025225291085989525
100,"CIV$_{I,X,Y}$",0.07264886690637709
100,CIV$_{I}$,2.0138088108979946
100,NIV$_{1 \textrm{ lag}}$,8.675179407729923
100,NIV$_{3 \textrm{ lags}}$,0.11511947131124205
1000,"CIV$_{I,X,Y}$",0.011604324493114706
1000,CIV$_{I}$,0.10244835084156609
1000,NIV$_{1 \textrm{ lag}}$,5.383090950009042
1000,NIV$_{3 \textrm{ lags}}$,0.004932612912840589
10000,"CIV$_{I,X,Y}$",0.0006384406214003824
10000,CIV$_{I}$,0.007023350373454173
10000,NIV$_{1 \textrm{ lag}}$,0.028803170369916253
10000,NIV$_{3 \textrm{ lags}}$,0.0003163374867046475
100,"CIV$_{I,X,Y}$",0.1097636385350859
100,CIV$_{I}$,0.09542198834561091
100,NIV$_{1 \textrm{ lag}}$,0.5315914760848699
100,NIV$_{3 \textrm{ lags}}$,0.07053391420885737
1000,"CIV$_{I,X,Y}$",0.003067376331697391
1000,CIV$_{I}$,0.0039635200601696036
1000,NIV$_{1 \textrm{ lag}}$,0.0038087284709388595
1000,NIV$_{3 \textrm{ lags}}$,0.0038712800273361194
10000,"CIV$_{I,X,Y}$",0.00045716170151797255
10000,CIV$_{I}$,0.0006003673845072084
10000,NIV$_{1 \textrm{ lag}}$,0.0004008473536625979
10000,NIV$_{3 \textrm{ lags}}$,0.0002168685985820849
100,"CIV$_{I,X,Y}$",0.4503285432822858
100,CIV$_{I}$,0.3919684773437172
100,NIV$_{1 \textrm{ lag}}$,13.923488533314423
100,NIV$_{3 \textrm{ lags}}$,0.34428020083618316
1000,"CIV$_{I,X,Y}$",0.10179638248086498
1000,CIV$_{I}$,0.1413278419233797
1000,NIV$_{1 \textrm{ lag}}$,150.17500024370486
1000,NIV$_{3 \textrm{ lags}}$,0.004548524957112506
10000,"CIV$_{I,X,Y}$",0.0022915317641908984
10000,CIV$_{I}$,0.0033460846235103757
10000,NIV$_{1 \textrm{ lag}}$,0.04915293007515603
10000,NIV$_{3 \textrm{ lags}}$,0.0004057177151871445
100,"CIV$_{I,X,Y}$",0.16259553936007806
100,CIV$_{I}$,0.3938764846614077
100,NIV$_{1 \textrm{ lag}}$,0.13111869899157652
100,NIV$_{3 \textrm{ lags}}$,0.05227297708748942
1000,"CIV$_{I,X,Y}$",0.01564394171433999
1000,CIV$_{I}$,0.04257328934802403
1000,NIV$_{1 \textrm{ lag}}$,276.6059740665986
1000,NIV$_{3 \textrm{ lags}}$,0.001823307854367847
10000,"CIV$_{I,X,Y}$",0.0023260747211326918
10000,CIV$_{I}$,0.005638144887606987
10000,NIV$_{1 \textrm{ lag}}$,0.08287601879858816
10000,NIV$_{3 \textrm{ lags}}$,0.00022685776717413776
100,"CIV$_{I,X,Y}$",0.08917804755579314
100,CIV$_{I}$,0.5149649444698792
100,NIV$_{1 \textrm{ lag}}$,24.63391783772095
100,NIV$_{3 \textrm{ lags}}$,0.02924735044704025
1000,"CIV$_{I,X,Y}$",0.010595474287522211
1000,CIV$_{I}$,0.03879258389761058
1000,NIV$_{1 \textrm{ lag}}$,0.0192728218681476
1000,NIV$_{3 \textrm{ lags}}$,0.003241647790824314
10000,"CIV$_{I,X,Y}$",0.0010982130834748588
10000,CIV$_{I}$,0.0037168210276608037
10000,NIV$_{1 \textrm{ lag}}$,0.004935257296832517
10000,NIV$_{3 \textrm{ lags}}$,0.0003143461817545619
100,"CIV$_{I,X,Y}$",0.07995517826912682
100,CIV$_{I}$,0.12536912180934462
100,NIV$_{1 \textrm{ lag}}$,0.04379921421586831
100,NIV$_{3 \textrm{ lags}}$,0.02585722085853619
1000,"CIV$_{I,X,Y}$",0.0015491932123985826
1000,CIV$_{I}$,0.005438234487561247
1000,NIV$_{1 \textrm{ lag}}$,0.005383987735562889
1000,NIV$_{3 \textrm{ lags}}$,0.0006913423430481992
10000,"CIV$_{I,X,Y}$",0.0003570995922264667
10000,CIV$_{I}$,0.0007224450211239234
10000,NIV$_{1 \textrm{ lag}}$,0.00029868275665135007
10000,NIV$_{3 \textrm{ lags}}$,0.0002766763480816907
100,"CIV$_{I,X,Y}$",0.2689779037631973
100,CIV$_{I}$,2.0171095304955124
100,NIV$_{1 \textrm{ lag}}$,0.1341619414898754
100,NIV$_{3 \textrm{ lags}}$,0.07633803215958583
1000,"CIV$_{I,X,Y}$",0.015077495650619749
1000,CIV$_{I}$,0.15886449649101497
1000,NIV$_{1 \textrm{ lag}}$,0.042066427278256595
1000,NIV$_{3 \textrm{ lags}}$,0.005827081653634767
10000,"CIV$_{I,X,Y}$",0.0013834048042837817
10000,CIV$_{I}$,0.04589633309614198
10000,NIV$_{1 \textrm{ lag}}$,0.0008163862996839445
10000,NIV$_{3 \textrm{ lags}}$,0.00037957248263493446
100,"CIV$_{I,X,Y}$",0.34314204120598135
100,CIV$_{I}$,0.7844678416452006
100,NIV$_{1 \textrm{ lag}}$,0.8570996155889219
100,NIV$_{3 \textrm{ lags}}$,0.014959236630414074
1000,"CIV$_{I,X,Y}$",0.007489148249120957
1000,CIV$_{I}$,0.09139696298684416
1000,NIV$_{1 \textrm{ lag}}$,0.022393687235014073
1000,NIV$_{3 \textrm{ lags}}$,0.002088064710916282
10000,"CIV$_{I,X,Y}$",0.0022160753403950998
10000,CIV$_{I}$,0.009195851170029046
10000,NIV$_{1 \textrm{ lag}}$,0.0031134357118121174
10000,NIV$_{3 \textrm{ lags}}$,0.00015637928823664392
100,"CIV$_{I,X,Y}$",0.0361095081651396
100,CIV$_{I}$,0.03578913436398225
100,NIV$_{1 \textrm{ lag}}$,4.996172662435177
100,NIV$_{3 \textrm{ lags}}$,0.00686763610268135
1000,"CIV$_{I,X,Y}$",0.004737317707923466
1000,CIV$_{I}$,0.0038590111284055144
1000,NIV$_{1 \textrm{ lag}}$,0.007380932775219761
1000,NIV$_{3 \textrm{ lags}}$,0.0005058884132831713
10000,"CIV$_{I,X,Y}$",0.00044060062333462223
10000,CIV$_{I}$,0.00041066979779289377
10000,NIV$_{1 \textrm{ lag}}$,0.0004153767382204487
10000,NIV$_{3 \textrm{ lags}}$,5.775145111886131e-05
100,"CIV$_{I,X,Y}$",2.139233304156787
100,CIV$_{I}$,0.8772133620838508
100,NIV$_{1 \textrm{ lag}}$,11.215648532238188
100,NIV$_{3 \textrm{ lags}}$,0.666749952986047
1000,"CIV$_{I,X,Y}$",21.016069145085766
1000,CIV$_{I}$,3.703996835596797
1000,NIV$_{1 \textrm{ lag}}$,22.563848067690042
1000,NIV$_{3 \textrm{ lags}}$,0.1279328647515349
10000,"CIV$_{I,X,Y}$",0.055584865819121476
10000,CIV$_{I}$,0.06738630004597948
10000,NIV$_{1 \textrm{ lag}}$,0.07939776754585134
10000,NIV$_{3 \textrm{ lags}}$,0.023870721148232445
100,"CIV$_{I,X,Y}$",0.06413556945038901
100,CIV$_{I}$,0.30428543787693024
100,NIV$_{1 \textrm{ lag}}$,9.389056229485929
100,NIV$_{3 \textrm{ lags}}$,0.028853854604312407
1000,"CIV$_{I,X,Y}$",0.006031762689866919
1000,CIV$_{I}$,0.012574226490828413
1000,NIV$_{1 \textrm{ lag}}$,0.2963408787490756
1000,NIV$_{3 \textrm{ lags}}$,0.0037233718391971025
10000,"CIV$_{I,X,Y}$",0.0003892436418806547
10000,CIV$_{I}$,0.001306156437006479
10000,NIV$_{1 \textrm{ lag}}$,0.001438220809607014
10000,NIV$_{3 \textrm{ lags}}$,0.0001221157747209321
100,"CIV$_{I,X,Y}$",0.16570967547100976
100,CIV$_{I}$,2.4518002942119397
100,NIV$_{1 \textrm{ lag}}$,69.07526313008565
100,NIV$_{3 \textrm{ lags}}$,0.05077374976492938
1000,"CIV$_{I,X,Y}$",0.023098137601468692
1000,CIV$_{I}$,0.051371754936397264
1000,NIV$_{1 \textrm{ lag}}$,0.004134625183177422
1000,NIV$_{3 \textrm{ lags}}$,0.0030711735078275027
10000,"CIV$_{I,X,Y}$",0.002613508394120876
10000,CIV$_{I}$,0.011224105296628406
10000,NIV$_{1 \textrm{ lag}}$,0.00023476855948455157
10000,NIV$_{3 \textrm{ lags}}$,0.0001669077930397712
100,"CIV$_{I,X,Y}$",1.1545778163177567
100,CIV$_{I}$,4.853908608962653
100,NIV$_{1 \textrm{ lag}}$,10.254259735378316
100,NIV$_{3 \textrm{ lags}}$,0.039253717625579956
1000,"CIV$_{I,X,Y}$",0.25623997643965357
1000,CIV$_{I}$,1.8052124208986293
1000,NIV$_{1 \textrm{ lag}}$,1.1677589612907462
1000,NIV$_{3 \textrm{ lags}}$,0.00810719917040807
10000,"CIV$_{I,X,Y}$",0.07713231530595384
10000,CIV$_{I}$,0.20193691572908237
10000,NIV$_{1 \textrm{ lag}}$,0.015739799468149948
10000,NIV$_{3 \textrm{ lags}}$,0.0001583296779556459
100,"CIV$_{I,X,Y}$",0.38421334055569817
100,CIV$_{I}$,4.834887892510656
100,NIV$_{1 \textrm{ lag}}$,3.359482582819247
100,NIV$_{3 \textrm{ lags}}$,0.03670362154393162
1000,"CIV$_{I,X,Y}$",0.08163235281033385
1000,CIV$_{I}$,0.24746675514642918
1000,NIV$_{1 \textrm{ lag}}$,3.0661228789324975
1000,NIV$_{3 \textrm{ lags}}$,0.001614664964733619
10000,"CIV$_{I,X,Y}$",0.02621858488825385
10000,CIV$_{I}$,0.09015452498578817
10000,NIV$_{1 \textrm{ lag}}$,0.18009172718268202
10000,NIV$_{3 \textrm{ lags}}$,0.00011489328548246662
100,"CIV$_{I,X,Y}$",0.06887485281046271
100,CIV$_{I}$,0.2792483853830591
100,NIV$_{1 \textrm{ lag}}$,0.10158324009563018
100,NIV$_{3 \textrm{ lags}}$,0.04748049009746909
1000,"CIV$_{I,X,Y}$",0.007440079342766334
1000,CIV$_{I}$,0.011027259528322857
1000,NIV$_{1 \textrm{ lag}}$,0.010293742350336362
1000,NIV$_{3 \textrm{ lags}}$,0.004831316848892208
10000,"CIV$_{I,X,Y}$",0.0012446427598014407
10000,CIV$_{I}$,0.0013101240738331173
10000,NIV$_{1 \textrm{ lag}}$,0.0008605277234803102
10000,NIV$_{3 \textrm{ lags}}$,0.0002410606229691718
100,"CIV$_{I,X,Y}$",0.026076170847146855
100,CIV$_{I}$,0.05486975357360373
100,NIV$_{1 \textrm{ lag}}$,71.3223898355391
100,NIV$_{3 \textrm{ lags}}$,0.028796784153833337
1000,"CIV$_{I,X,Y}$",0.0030298318361501966
1000,CIV$_{I}$,0.004421021293267093
1000,NIV$_{1 \textrm{ lag}}$,223.26114677426304
1000,NIV$_{3 \textrm{ lags}}$,0.002339323499459466
10000,"CIV$_{I,X,Y}$",0.00034592249930153336
10000,CIV$_{I}$,0.0004420620600010201
10000,NIV$_{1 \textrm{ lag}}$,0.37791202206918545
10000,NIV$_{3 \textrm{ lags}}$,0.0001340412555836906
100,"CIV$_{I,X,Y}$",0.33616392116479277
100,CIV$_{I}$,0.16634876503860416
100,NIV$_{1 \textrm{ lag}}$,0.10990208400638371
100,NIV$_{3 \textrm{ lags}}$,0.35530177369199545
1000,"CIV$_{I,X,Y}$",0.00678691551117792
1000,CIV$_{I}$,0.00959967181089872
1000,NIV$_{1 \textrm{ lag}}$,0.004613495773740634
1000,NIV$_{3 \textrm{ lags}}$,0.01026813398474356
10000,"CIV$_{I,X,Y}$",0.0013464306150207939
10000,CIV$_{I}$,0.00149162293079092
10000,NIV$_{1 \textrm{ lag}}$,0.0009452231182478747
10000,NIV$_{3 \textrm{ lags}}$,0.0009556642687399135
100,"CIV$_{I,X,Y}$",0.09124438757518631
100,CIV$_{I}$,0.12172113635037969
100,NIV$_{1 \textrm{ lag}}$,0.1747484293660079
100,NIV$_{3 \textrm{ lags}}$,0.011211394724328267
1000,"CIV$_{I,X,Y}$",0.005853637938118302
1000,CIV$_{I}$,0.006001199585025421
1000,NIV$_{1 \textrm{ lag}}$,379.61710869138926
1000,NIV$_{3 \textrm{ lags}}$,0.0006485434004577463
10000,"CIV$_{I,X,Y}$",0.0005781761666579418
10000,CIV$_{I}$,0.0006292420980371667
10000,NIV$_{1 \textrm{ lag}}$,0.19334878211266912
10000,NIV$_{3 \textrm{ lags}}$,4.1975443362777485e-05
100,"CIV$_{I,X,Y}$",0.17798544579676467
100,CIV$_{I}$,0.1741442253350616
100,NIV$_{1 \textrm{ lag}}$,1.3597846814358205
100,NIV$_{3 \textrm{ lags}}$,0.017046687127165054
1000,"CIV$_{I,X,Y}$",0.005893498797759475
1000,CIV$_{I}$,0.00853677241574789
1000,NIV$_{1 \textrm{ lag}}$,9.981953210632863
1000,NIV$_{3 \textrm{ lags}}$,0.006094970250428465
10000,"CIV$_{I,X,Y}$",0.0010362209322260097
10000,CIV$_{I}$,0.009812025034280546
10000,NIV$_{1 \textrm{ lag}}$,0.015733707588472062
10000,NIV$_{3 \textrm{ lags}}$,0.000570252726402512
100,"CIV$_{I,X,Y}$",0.15062228876324646
100,CIV$_{I}$,57.45007807892048
100,NIV$_{1 \textrm{ lag}}$,0.6756459684705557
100,NIV$_{3 \textrm{ lags}}$,0.003711857803309965
1000,"CIV$_{I,X,Y}$",0.011493617961974338
1000,CIV$_{I}$,1.1511507936695164
1000,NIV$_{1 \textrm{ lag}}$,0.06684327870196072
1000,NIV$_{3 \textrm{ lags}}$,0.0007498311554596832
10000,"CIV$_{I,X,Y}$",0.0005316463731997069
10000,CIV$_{I}$,0.48453965503840435
10000,NIV$_{1 \textrm{ lag}}$,0.00027813204902169317
10000,NIV$_{3 \textrm{ lags}}$,9.575696063159364e-05
100,"CIV$_{I,X,Y}$",0.21341776828169676
100,CIV$_{I}$,0.5310520847465375
100,NIV$_{1 \textrm{ lag}}$,9.91467736862168
100,NIV$_{3 \textrm{ lags}}$,0.17012800424152613
1000,"CIV$_{I,X,Y}$",0.014749524196018247
1000,CIV$_{I}$,0.013399641949903405
1000,NIV$_{1 \textrm{ lag}}$,0.058175416868519625
1000,NIV$_{3 \textrm{ lags}}$,0.012137812450886895
10000,"CIV$_{I,X,Y}$",0.005723884622777698
10000,CIV$_{I}$,0.006635388577679663
10000,NIV$_{1 \textrm{ lag}}$,0.007229146078082509
10000,NIV$_{3 \textrm{ lags}}$,0.004306446175395273
100,"CIV$_{I,X,Y}$",0.04737174687715702
100,CIV$_{I}$,0.13174571402470323
100,NIV$_{1 \textrm{ lag}}$,0.6369178448951349
100,NIV$_{3 \textrm{ lags}}$,0.068372478020188
1000,"CIV$_{I,X,Y}$",0.0013690108780083832
1000,CIV$_{I}$,0.0018736851791796073
1000,NIV$_{1 \textrm{ lag}}$,11.328888526337767
1000,NIV$_{3 \textrm{ lags}}$,0.003093208014121846
10000,"CIV$_{I,X,Y}$",0.00023413339974526237
10000,CIV$_{I}$,0.0003864894859158496
10000,NIV$_{1 \textrm{ lag}}$,0.0010649305746809152
10000,NIV$_{3 \textrm{ lags}}$,0.0004671390319940325
100,"CIV$_{I,X,Y}$",0.10074431870874187
100,CIV$_{I}$,0.7472931423745307
100,NIV$_{1 \textrm{ lag}}$,0.12263869130401961
100,NIV$_{3 \textrm{ lags}}$,0.05565823213046028
1000,"CIV$_{I,X,Y}$",0.004881936627321259
1000,CIV$_{I}$,0.013590035628418906
1000,NIV$_{1 \textrm{ lag}}$,0.0012550534534376487
1000,NIV$_{3 \textrm{ lags}}$,0.0009369147346474031
10000,"CIV$_{I,X,Y}$",0.0006810871721207757
10000,CIV$_{I}$,0.0020599299507038068
10000,NIV$_{1 \textrm{ lag}}$,0.00019564338988596752
10000,NIV$_{3 \textrm{ lags}}$,0.00021420942386902428
100,"CIV$_{I,X,Y}$",0.06950011076410843
100,CIV$_{I}$,0.0703813026150272
100,NIV$_{1 \textrm{ lag}}$,0.037202127956370554
100,NIV$_{3 \textrm{ lags}}$,0.05031152181053964
1000,"CIV$_{I,X,Y}$",0.005308152005527341
1000,CIV$_{I}$,0.008179559636174264
1000,NIV$_{1 \textrm{ lag}}$,0.0032545762777531372
1000,NIV$_{3 \textrm{ lags}}$,0.0028016152219849898
10000,"CIV$_{I,X,Y}$",0.0015905772061354843
10000,CIV$_{I}$,0.0017299522102193685
10000,NIV$_{1 \textrm{ lag}}$,0.00024255881461432167
10000,NIV$_{3 \textrm{ lags}}$,0.00017679556324893885
100,"CIV$_{I,X,Y}$",2.3503056208580153
100,CIV$_{I}$,1.1251639349587206
100,NIV$_{1 \textrm{ lag}}$,0.5849427499128562
100,NIV$_{3 \textrm{ lags}}$,0.08926948062990156
1000,"CIV$_{I,X,Y}$",4.254979436766621
1000,CIV$_{I}$,2.785944371022865
1000,NIV$_{1 \textrm{ lag}}$,6.507527970899174
1000,NIV$_{3 \textrm{ lags}}$,0.032658460390188125
10000,"CIV$_{I,X,Y}$",0.05379810744389576
10000,CIV$_{I}$,0.12706237721030877
10000,NIV$_{1 \textrm{ lag}}$,2.116673922598031
10000,NIV$_{3 \textrm{ lags}}$,0.018131246100579323
100,"CIV$_{I,X,Y}$",0.07370347469785052
100,CIV$_{I}$,0.07334144508095619
100,NIV$_{1 \textrm{ lag}}$,17.852679621808697
100,NIV$_{3 \textrm{ lags}}$,0.14120648579451844
1000,"CIV$_{I,X,Y}$",0.011252652679388206
1000,CIV$_{I}$,0.014935605770142978
1000,NIV$_{1 \textrm{ lag}}$,0.011032770511591265
1000,NIV$_{3 \textrm{ lags}}$,0.006175806965369209
10000,"CIV$_{I,X,Y}$",0.0015381653162743762
10000,CIV$_{I}$,0.00325127754757368
10000,NIV$_{1 \textrm{ lag}}$,0.0009066164699593465
10000,NIV$_{3 \textrm{ lags}}$,0.0009185115848766738
100,"CIV$_{I,X,Y}$",0.02710508456318563
100,CIV$_{I}$,0.0372941983891692
100,NIV$_{1 \textrm{ lag}}$,0.015184051986234192
100,NIV$_{3 \textrm{ lags}}$,0.011102854491730069
1000,"CIV$_{I,X,Y}$",0.002467879628030254
1000,CIV$_{I}$,0.006894872704326432
1000,NIV$_{1 \textrm{ lag}}$,0.0008806047797149129
1000,NIV$_{3 \textrm{ lags}}$,0.0014778023941872912
10000,"CIV$_{I,X,Y}$",0.00019307978098114277
10000,CIV$_{I}$,0.0003560948175301201
10000,NIV$_{1 \textrm{ lag}}$,6.98993283753769e-05
10000,NIV$_{3 \textrm{ lags}}$,8.145836590693982e-05
