delta,n,method,error
0.5,500,TS-NIV,0.0015982357220442917
0.5,1000,TS-NIV,0.31275403399386714
0.5,5000,TS-NIV,0.002754148250261003
0.5,10000,TS-NIV,0.001625454138336955
0.5,50000,TS-NIV,0.0013825957173211993
1.0,100,TS-NIV,0.25034071675241876
1.0,500,TS-NIV,0.04939599670786232
1.0,1000,TS-NIV,0.0026615694606076374
1.0,5000,TS-NIV,0.003215477848321725
1.0,10000,TS-NIV,0.0006840737466075812
1.0,50000,TS-NIV,0.0002746070053712811
0.0,100,TS-NIV,26.212440909319024
0.0,500,TS-NIV,2.4071149552751065
0.0,1000,TS-NIV,1.0741729326732123
0.0,5000,TS-NIV,3.203988585178091
0.0,10000,TS-NIV,3.5457501410388095
0.0,50000,TS-NIV,0.22657828954698536
0.01,100,TS-NIV,0.4830249122193122
0.01,500,TS-NIV,11.396167495621995
0.01,1000,TS-NIV,0.011325287116814233
0.01,5000,TS-NIV,1.6106972492385794
0.01,10000,TS-NIV,0.919068207480349
0.01,50000,TS-NIV,1.576896001849918
0.1,100,TS-NIV,1.668288295555035
0.1,500,TS-NIV,1.8482207745804593
0.1,1000,TS-NIV,80.89527949771957
0.1,5000,TS-NIV,0.8977465628701837
0.1,10000,TS-NIV,0.14505563114318037
0.1,50000,TS-NIV,0.022249663138856138
0.5,100,TS-NIV,5124.235922753789
0.5,500,TS-NIV,10.424733347595645
0.5,1000,TS-NIV,0.019253462489383113
0.5,5000,TS-NIV,0.0012455670335285544
0.5,10000,TS-NIV,0.06871442596074329
0.5,50000,TS-NIV,0.05051010421365483
1.0,100,TS-NIV,36.02392446780464
1.0,500,TS-NIV,0.0020805240019696786
1.0,1000,TS-NIV,0.02809406020895743
1.0,5000,TS-NIV,0.01301311345808609
1.0,10000,TS-NIV,0.0016371300565755564
1.0,50000,TS-NIV,0.0007848866130933275
0.0,100,TS-NIV,4.006781549975927
0.0,500,TS-NIV,0.09006152312032142
0.0,1000,TS-NIV,0.8071990305530387
0.0,5000,TS-NIV,0.2560498637106267
0.0,10000,TS-NIV,0.2949183818934469
0.0,50000,TS-NIV,1.6589874214078852
0.01,100,TS-NIV,0.01364380962141487
0.01,500,TS-NIV,1.4594286732326598
0.01,1000,TS-NIV,0.5329989143959339
0.01,5000,TS-NIV,0.0006355330900398599
0.01,10000,TS-NIV,46.72916890544483
0.01,50000,TS-NIV,20.008112171213632
0.1,100,TS-NIV,6.450696192951586
0.1,500,TS-NIV,0.018209215410698698
0.1,1000,TS-NIV,0.46392317065100697
0.1,5000,TS-NIV,0.05555871024126829
0.1,10000,TS-NIV,0.3033739015631111
0.1,50000,TS-NIV,0.00021697612474434952
0.5,100,TS-NIV,0.38619527946754517
