delta,n,method,error
0.0,5000,TS-NIV,5.2366611405072465
0.0,10000,TS-NIV,0.2528633514668881
0.0,50000,TS-NIV,10.83319009391436
0.01,100,TS-NIV,46.70627841238624
0.01,500,TS-NIV,29.304798606426758
0.01,1000,TS-NIV,2.317000450526382
0.01,5000,TS-NIV,3.941729322997742
0.01,10000,TS-NIV,0.5795906302578513
0.01,50000,TS-NIV,0.14393880992129537
0.1,100,TS-NIV,0.17365654279823073
0.1,500,TS-NIV,7.72198094419394
0.1,1000,TS-NIV,1.43470645844807
0.1,5000,TS-NIV,0.1867999897931561
0.1,10000,TS-NIV,0.00014022866663527275
0.1,50000,TS-NIV,0.015647490841482436
0.5,100,TS-NIV,0.9578643176325534
0.5,500,TS-NIV,0.09456704583546108
0.5,1000,TS-NIV,0.002693426677924349
0.5,5000,TS-NIV,0.026398829665635032
0.5,10000,TS-NIV,0.0070487343158284485
0.5,50000,TS-NIV,0.00023399908931049667
1.0,100,TS-NIV,0.01528646411748943
1.0,500,TS-NIV,0.005134130054114627
1.0,1000,TS-NIV,0.0032786521967885477
1.0,5000,TS-NIV,0.0013535578545098366
1.0,10000,TS-NIV,1.5986688066275376e-05
1.0,50000,TS-NIV,0.0003539284531990111
0.0,100,TS-NIV,5.08378741301396
0.0,500,TS-NIV,214.21734930971533
0.0,1000,TS-NIV,6.4168187730134845
0.0,5000,TS-NIV,0.9860155172053766
0.0,10000,TS-NIV,0.11655461011623691
0.0,50000,TS-NIV,106.21200805986908
0.01,100,TS-NIV,1.1222593344333371
0.01,500,TS-NIV,15.164262526801311
0.01,1000,TS-NIV,0.03710435567943644
0.01,5000,TS-NIV,0.07988643579135386
0.01,10000,TS-NIV,0.0389654013103648
0.01,50000,TS-NIV,1.9927170635584264
0.1,100,TS-NIV,0.980228386224643
0.1,500,TS-NIV,0.3846909372667724
0.1,1000,TS-NIV,0.0468954823084815
0.1,5000,TS-NIV,0.06630052182131933
0.1,10000,TS-NIV,0.0337591827432145
0.1,50000,TS-NIV,0.011955018574838543
0.5,100,TS-NIV,0.8391476527746704
0.5,500,TS-NIV,0.7289455354940705
0.5,1000,TS-NIV,0.0898496592715124
0.5,5000,TS-NIV,8.302817535148925
0.5,10000,TS-NIV,3.7076528186353483
0.5,50000,TS-NIV,0.08158869065911374
1.0,100,TS-NIV,0.5927980782370165
1.0,500,TS-NIV,0.02145552353026459
1.0,1000,TS-NIV,0.0027959985883887427
1.0,5000,TS-NIV,0.0012294461819413606
1.0,10000,TS-NIV,0.0002263498829547279
1.0,50000,TS-NIV,0.0003151368602292026
0.0,100,TS-NIV,10.436532544556547
0.0,500,TS-NIV,1.4853973890331822
0.0,1000,TS-NIV,0.3192566135325567
0.0,5000,TS-NIV,0.4990568250117314
0.0,10000,TS-NIV,0.5956724996356377
0.0,50000,TS-NIV,21.769868948181358
0.01,100,TS-NIV,0.4967995538965286
0.01,500,TS-NIV,1.3971550537980444
0.01,1000,TS-NIV,0.24774142391307938
0.01,5000,TS-NIV,0.4579843866096428
0.01,10000,TS-NIV,40.77760693655899
0.01,50000,TS-NIV,9.8008524222898e-05
0.1,100,TS-NIV,25.948491983931024
0.1,500,TS-NIV,0.03476756597093284
0.1,1000,TS-NIV,5.1314827657046385
0.1,5000,TS-NIV,8.556577522892095
0.1,10000,TS-NIV,0.00023226737827836756
0.1,50000,TS-NIV,0.029270766628056128
0.5,100,TS-NIV,0.9517718066617817
0.5,500,TS-NIV,0.03344094451775881
0.5,1000,TS-NIV,0.21738351501959313
0.5,5000,TS-NIV,0.004410872797742374
0.5,10000,TS-NIV,0.03070679336522597
0.5,50000,TS-NIV,4.350822803171615e-06
1.0,100,TS-NIV,0.042344455097617084
1.0,500,TS-NIV,0.09784816487323111
1.0,1000,TS-NIV,0.022473877417186823
1.0,5000,TS-NIV,0.006606142493564605
1.0,10000,TS-NIV,0.011792392125178143
1.0,50000,TS-NIV,0.0006362391465711411
0.0,100,TS-NIV,40.74888677146693
0.0,500,TS-NIV,5.508309552405452
0.0,1000,TS-NIV,0.7279735594905361
0.0,5000,TS-NIV,37.648649529195374
0.0,10000,TS-NIV,1.5471325249445398
0.0,50000,TS-NIV,0.018642249262127885
0.01,100,TS-NIV,2.3979178605090388
0.01,500,TS-NIV,0.6091782332186217
0.01,1000,TS-NIV,4.372722912701596
0.01,5000,TS-NIV,274.1018224789
0.01,10000,TS-NIV,34.83571787696739
0.01,50000,TS-NIV,16.327348044980358
0.1,100,TS-NIV,2.4538493462951836
0.1,500,TS-NIV,0.21273429193965013
0.1,1000,TS-NIV,0.010935145495839663
0.1,5000,TS-NIV,0.7216030631985062
0.1,10000,TS-NIV,0.019548996126424557
0.1,50000,TS-NIV,0.004124905062918086
0.5,100,TS-NIV,2.8995526279295065
0.5,500,TS-NIV,29.142680373961348
0.5,1000,TS-NIV,2.1483390749142797
0.5,5000,TS-NIV,0.12118417524452806
0.5,10000,TS-NIV,0.0731226127271451
0.5,50000,TS-NIV,0.002171876478505228
1.0,100,TS-NIV,1.3439225701305566
1.0,500,TS-NIV,34.63923211323416
1.0,1000,TS-NIV,0.16130220659323813
1.0,5000,TS-NIV,134.51069260111905
1.0,10000,TS-NIV,0.07647026386956252
1.0,50000,TS-NIV,0.02942113962151783
0.0,100,TS-NIV,0.7335858575523722
0.0,500,TS-NIV,0.8633867347198028
0.0,1000,TS-NIV,9.628115004748896
0.0,5000,TS-NIV,0.20983696754341122
0.0,10000,TS-NIV,80.58264171763147
0.0,50000,TS-NIV,15.474087956074804
0.01,100,TS-NIV,0.4339335082174039
0.01,500,TS-NIV,0.3893116433711147
0.01,1000,TS-NIV,77.62946767339571
0.01,5000,TS-NIV,5.852899125501631
0.01,10000,TS-NIV,2.101742370322034
0.01,50000,TS-NIV,10.70731109522651
0.1,100,TS-NIV,1.4255883099201334
0.1,500,TS-NIV,0.8175128652889883
0.1,1000,TS-NIV,1.075300412766007
0.1,5000,TS-NIV,37.295725267124375
0.1,10000,TS-NIV,11.024345414992219
0.1,50000,TS-NIV,0.047189465798615104
0.5,100,TS-NIV,121.86507597767742
0.5,500,TS-NIV,0.10537501711935186
0.5,1000,TS-NIV,0.2629280121147149
0.5,5000,TS-NIV,0.0011241458952747719
0.5,10000,TS-NIV,0.025649898277004132
0.5,50000,TS-NIV,0.005423557142050759
1.0,100,TS-NIV,0.11345473297035003
1.0,500,TS-NIV,0.5829572090717032
1.0,1000,TS-NIV,0.17378452219169682
1.0,5000,TS-NIV,0.0012735234499252836
1.0,10000,TS-NIV,0.013488450437772845
1.0,50000,TS-NIV,0.0009122820670237868
0.0,100,TS-NIV,0.018696837029419815
0.0,500,TS-NIV,0.12474670239695886
0.0,1000,TS-NIV,0.005123095775171687
0.0,5000,TS-NIV,0.024216191098517935
0.0,10000,TS-NIV,3.9012151323040465
0.0,50000,TS-NIV,0.16054705020051693
0.01,100,TS-NIV,3.4581604956030985
0.01,500,TS-NIV,2.0477930597177703
0.01,1000,TS-NIV,1.3195447423571522
0.01,5000,TS-NIV,0.1879896096644499
0.01,10000,TS-NIV,0.14823076251141531
0.01,50000,TS-NIV,0.16443620640377338
0.1,100,TS-NIV,5.4200514177386605
0.1,500,TS-NIV,0.006699683931478263
0.1,1000,TS-NIV,0.8018330777974245
0.1,5000,TS-NIV,0.02812742418150537
0.1,10000,TS-NIV,0.2781341095920036
0.1,50000,TS-NIV,5.873304968468966
0.5,100,TS-NIV,0.5348056149598409
0.5,500,TS-NIV,1.2888664921637487
0.5,1000,TS-NIV,0.011294122451774712
0.5,5000,TS-NIV,0.00440669310479446
0.5,10000,TS-NIV,0.00042896734038191405
0.5,50000,TS-NIV,0.004972414781579345
1.0,100,TS-NIV,1.2932253664299083
1.0,500,TS-NIV,0.14175758074003098
1.0,1000,TS-NIV,0.60348606682665
1.0,5000,TS-NIV,0.00011190983990866015
1.0,10000,TS-NIV,0.03852100342641053
1.0,50000,TS-NIV,0.004312944077823968
0.0,100,TS-NIV,22.688276533779355
0.0,500,TS-NIV,2.9421079606716933
0.0,1000,TS-NIV,2.0598265746017455
0.0,5000,TS-NIV,2.494023158878103
0.0,10000,TS-NIV,0.1654918331495532
0.0,50000,TS-NIV,1.9974997205203655
0.01,100,TS-NIV,0.43836927627547345
0.01,500,TS-NIV,0.032346143848920296
0.01,1000,TS-NIV,77.1622863174724
0.01,5000,TS-NIV,0.6999255229565372
0.01,10000,TS-NIV,1.0262173589593078
0.01,50000,TS-NIV,0.010820666515249688
0.1,100,TS-NIV,2.0428744741086753
0.1,500,TS-NIV,1.9235574394468218
0.1,1000,TS-NIV,24.911162974087596
0.1,5000,TS-NIV,2.916536150257518
0.1,10000,TS-NIV,3.7561775946450715
0.1,50000,TS-NIV,0.031251080019399954
0.5,100,TS-NIV,117.73566009545432
0.5,500,TS-NIV,1674.9821250701166
0.5,1000,TS-NIV,37.194525072798356
0.5,5000,TS-NIV,0.4296296145138807
0.5,10000,TS-NIV,15.884673776802689
0.5,50000,TS-NIV,0.08661733659866737
1.0,100,TS-NIV,0.241241156457312
1.0,500,TS-NIV,2.022103464561974
1.0,1000,TS-NIV,0.3687409999217835
1.0,5000,TS-NIV,0.028132659296649654
1.0,10000,TS-NIV,0.020543647964836122
1.0,50000,TS-NIV,0.0005442949956546479
0.0,100,TS-NIV,0.12817624122617316
0.0,500,TS-NIV,2.1011349542428395
0.0,1000,TS-NIV,2.7640975783512673
0.0,5000,TS-NIV,0.5187011662492536
0.0,10000,TS-NIV,0.158855856185225
0.0,50000,TS-NIV,3.4622752205089853
0.01,100,TS-NIV,2.286408926197386
0.01,500,TS-NIV,3.145773460216746
0.01,1000,TS-NIV,440.0789548131604
0.01,5000,TS-NIV,0.005059030321206727
0.01,10000,TS-NIV,0.45995228987549475
0.01,50000,TS-NIV,6.796304645687103e-06
0.1,100,TS-NIV,5.796595445753222
0.1,500,TS-NIV,0.5692589735562669
0.1,1000,TS-NIV,3.3542337833249385
0.1,5000,TS-NIV,2.144520518330584
0.1,10000,TS-NIV,1.465021910885331
0.1,50000,TS-NIV,0.0016283644187909828
0.5,100,TS-NIV,4.369415875611531
0.5,500,TS-NIV,71.46170451519048
0.5,1000,TS-NIV,0.994215679573202
0.5,5000,TS-NIV,0.21642980466182396
0.5,10000,TS-NIV,0.0013979668069133042
0.5,50000,TS-NIV,0.8698534275393183
1.0,100,TS-NIV,0.04719801758775094
1.0,500,TS-NIV,0.1836209279985831
1.0,1000,TS-NIV,0.010042567740788462
1.0,5000,TS-NIV,0.007035510242097242
1.0,10000,TS-NIV,0.0019018133984086264
1.0,50000,TS-NIV,0.0007767652746751585
0.0,100,TS-NIV,0.02395226795395356
0.0,500,TS-NIV,0.048050040133473096
0.0,1000,TS-NIV,7.729341215817153
0.0,5000,TS-NIV,1.0458449911195795
0.0,10000,TS-NIV,0.8386303749559446
0.0,50000,TS-NIV,7.259941538079169
0.01,100,TS-NIV,87.30567701498873
0.01,500,TS-NIV,0.17508796171856114
0.01,1000,TS-NIV,18.559949643702065
0.01,5000,TS-NIV,9.397609240659088
0.01,10000,TS-NIV,90.1357359036445
0.01,50000,TS-NIV,1.312870644351376
0.1,100,TS-NIV,1.2691006264194358
0.1,500,TS-NIV,0.826814149138386
0.1,1000,TS-NIV,140.72629720244282
0.1,5000,TS-NIV,0.2048135625180481
0.1,10000,TS-NIV,0.041045471630822714
0.1,50000,TS-NIV,1.7989351289104498
0.5,100,TS-NIV,0.5378741398703729
0.5,500,TS-NIV,3.3681949193928724
0.5,1000,TS-NIV,0.6575892636802045
0.5,5000,TS-NIV,0.42061671317380545
0.5,10000,TS-NIV,1.022214484121519
0.5,50000,TS-NIV,0.061102242087088796
1.0,100,TS-NIV,2.563080918760734
1.0,500,TS-NIV,0.016146299805272844
1.0,1000,TS-NIV,0.01519201808923987
1.0,5000,TS-NIV,0.007847688945837525
1.0,10000,TS-NIV,0.0003732357512134226
1.0,50000,TS-NIV,0.0007318058112391697
0.0,100,TS-NIV,12.114183073891404
0.0,500,TS-NIV,0.047682955493697804
0.0,1000,TS-NIV,0.037570528639662745
0.0,5000,TS-NIV,0.0011192046838320378
0.0,10000,TS-NIV,1.9023102918660504
0.0,50000,TS-NIV,0.6949893316574245
0.01,100,TS-NIV,0.07017747404346827
0.01,500,TS-NIV,13.95660528963377
0.01,1000,TS-NIV,0.06522135168243608
0.01,5000,TS-NIV,0.00854229676925641
0.01,10000,TS-NIV,355.6327409179613
0.01,50000,TS-NIV,7.845964036916881
0.1,100,TS-NIV,5.210302857032207
0.1,500,TS-NIV,0.594403684784557
0.1,1000,TS-NIV,0.06437021818257657
0.1,5000,TS-NIV,0.7746270210316606
0.1,10000,TS-NIV,1.7643194268977545
0.1,50000,TS-NIV,0.008996125333931381
0.5,100,TS-NIV,13.503453348678399
0.5,500,TS-NIV,0.08014052071091766
0.5,1000,TS-NIV,0.11598727601975418
0.5,5000,TS-NIV,0.11158391179816332
0.5,10000,TS-NIV,0.100923592540206
0.5,50000,TS-NIV,0.00011145650830154346
1.0,100,TS-NIV,0.027377652927598313
1.0,500,TS-NIV,0.16173004717766784
1.0,1000,TS-NIV,0.16052237041785486
1.0,5000,TS-NIV,0.00183724006780138
1.0,10000,TS-NIV,0.008132945495658761
1.0,50000,TS-NIV,0.0011368134637992555
0.0,100,TS-NIV,0.10327330665544023
0.0,500,TS-NIV,1.0996674266376283
0.0,1000,TS-NIV,0.15513898771527956
0.0,5000,TS-NIV,2.68590602539149
0.0,10000,TS-NIV,0.03620375688789555
0.0,50000,TS-NIV,0.07172913134875529
0.01,100,TS-NIV,0.041467146638778374
0.01,500,TS-NIV,3.5597053859657968
0.01,1000,TS-NIV,0.009791976783422085
0.01,5000,TS-NIV,2.0333111628766867
0.01,10000,TS-NIV,0.33669681269250984
0.01,50000,TS-NIV,0.07181693431437526
0.1,100,TS-NIV,0.3899892256334267
0.1,500,TS-NIV,12.254201616193267
0.1,1000,TS-NIV,7.3132811255571415
0.1,5000,TS-NIV,30.977716724842487
0.1,10000,TS-NIV,5.402173125264706
0.1,50000,TS-NIV,0.07499505209890968
0.5,100,TS-NIV,0.47740326213025525
0.5,500,TS-NIV,46.84584641655977
0.5,1000,TS-NIV,1.097341040905081
0.5,5000,TS-NIV,4.730632789253292
0.5,10000,TS-NIV,0.003968625695194423
0.5,50000,TS-NIV,0.005238622755028707
1.0,100,TS-NIV,0.06866621017872242
1.0,500,TS-NIV,0.318123642909038
1.0,1000,TS-NIV,0.026318402798919463
1.0,5000,TS-NIV,0.004886436439991954
1.0,10000,TS-NIV,0.015064050730623406
1.0,50000,TS-NIV,0.001367343446693636
0.0,100,TS-NIV,8.388397499790244
0.0,500,TS-NIV,204.8665650619099
0.0,1000,TS-NIV,6.832203122889515
0.0,5000,TS-NIV,1.6568611743561128
0.0,10000,TS-NIV,1.7509894456311939
0.0,50000,TS-NIV,0.1711682785242652
0.01,100,TS-NIV,0.3824464562656908
0.01,500,TS-NIV,0.3265136535404406
0.01,1000,TS-NIV,0.6455017439107149
0.01,5000,TS-NIV,2.7970361477101195
0.01,10000,TS-NIV,0.010729158903317252
0.01,50000,TS-NIV,0.04183645224333271
0.1,100,TS-NIV,1.6191133603889727
0.1,500,TS-NIV,4.508944269655478
0.1,1000,TS-NIV,641.5189696003239
0.1,5000,TS-NIV,0.009250220362184852
0.1,10000,TS-NIV,0.041537527105854455
0.1,50000,TS-NIV,0.00394913172514697
0.5,100,TS-NIV,38.817350934695156
0.5,500,TS-NIV,0.35930982537738676
0.5,1000,TS-NIV,0.0010854888745169535
0.5,5000,TS-NIV,0.0050697230635991875
0.5,10000,TS-NIV,0.0026035122567002232
0.5,50000,TS-NIV,3.965547206417577e-05
1.0,100,TS-NIV,8.5999978635069
1.0,500,TS-NIV,0.6057752546001567
1.0,1000,TS-NIV,9.456718582116366
1.0,5000,TS-NIV,0.13119606628791017
1.0,10000,TS-NIV,0.11082193671176478
1.0,50000,TS-NIV,0.001163912709244302
0.0,100,TS-NIV,0.4503759802263285
0.0,500,TS-NIV,2.8566582911199374
0.0,1000,TS-NIV,0.6453971338272206
0.0,5000,TS-NIV,0.3417115148671691
0.0,10000,TS-NIV,13.497654824604279
0.0,50000,TS-NIV,5.223291827600052
0.01,100,TS-NIV,5.403672817815533
0.01,500,TS-NIV,0.814718246582249
0.01,1000,TS-NIV,2.8927080910140406
0.01,5000,TS-NIV,1.7544683249129864
0.01,10000,TS-NIV,0.9775857829787165
0.01,50000,TS-NIV,0.032697666456108124
0.1,100,TS-NIV,2.366159942237915
0.1,500,TS-NIV,2.085858514695108
0.1,1000,TS-NIV,3.249175768774946
0.1,5000,TS-NIV,1.8228584208380247
0.1,10000,TS-NIV,1.6159842949823926
0.1,50000,TS-NIV,1.4032047655270876
0.5,100,TS-NIV,7.402280608167925
0.5,500,TS-NIV,0.10058382931149717
0.5,1000,TS-NIV,0.1854619034242915
0.5,5000,TS-NIV,0.04819219800889592
0.5,10000,TS-NIV,0.0002347939312628729
0.5,50000,TS-NIV,0.0024111992455639036
1.0,100,TS-NIV,0.01176018993930272
1.0,500,TS-NIV,0.00784170541633048
1.0,1000,TS-NIV,0.010006819376430666
1.0,5000,TS-NIV,0.00018318927906081842
1.0,10000,TS-NIV,0.00048780921981858387
1.0,50000,TS-NIV,0.0001161676760761439
0.0,100,TS-NIV,397.4735990530926
0.0,500,TS-NIV,0.0005643921642641678
0.0,1000,TS-NIV,0.7511778898735448
0.0,5000,TS-NIV,0.9564080912054286
0.0,10000,TS-NIV,0.3729579822395265
0.0,50000,TS-NIV,1.0973609512224674
0.01,100,TS-NIV,91956.51310416764
0.01,500,TS-NIV,2.818016740116365
0.01,1000,TS-NIV,1.3359239425075424
0.01,5000,TS-NIV,2.5440385412447473
0.01,10000,TS-NIV,2.4169296822621207
0.01,50000,TS-NIV,0.23925582149795677
0.1,100,TS-NIV,2.9019043555860304
0.1,500,TS-NIV,0.02473766033931244
0.1,1000,TS-NIV,0.1767970009795136
0.1,5000,TS-NIV,0.020443114781748893
0.1,10000,TS-NIV,0.06090345077648979
0.1,50000,TS-NIV,0.004068957866034319
0.5,100,TS-NIV,0.7384478814242664
0.5,500,TS-NIV,39.25295431105873
0.5,1000,TS-NIV,0.861841177554213
0.5,5000,TS-NIV,0.02034860786245638
0.5,10000,TS-NIV,0.13135981415693843
0.5,50000,TS-NIV,0.017707167020867665
1.0,100,TS-NIV,0.056598621008895504
1.0,500,TS-NIV,0.050635856146352
1.0,1000,TS-NIV,0.07513397248988458
1.0,5000,TS-NIV,0.0021983084520944256
1.0,10000,TS-NIV,0.0007955936644706854
1.0,50000,TS-NIV,0.0011590048661645242
0.0,100,TS-NIV,31.503229562853782
0.0,500,TS-NIV,7.301115368909673
0.0,1000,TS-NIV,2.4760839531250456
0.0,5000,TS-NIV,40035.25738042188
0.0,10000,TS-NIV,2.641344297783124
0.0,50000,TS-NIV,5.811433463554756
0.01,100,TS-NIV,0.0637312029992424
0.01,500,TS-NIV,1.9892415586251027
0.01,1000,TS-NIV,4.138147738051438
0.01,5000,TS-NIV,0.21308157294034497
0.01,10000,TS-NIV,0.0019860921595001445
0.01,50000,TS-NIV,28.58784639271053
0.1,100,TS-NIV,0.04555841754884013
0.1,500,TS-NIV,4973.7686363759585
0.1,1000,TS-NIV,0.6226310261171603
0.1,5000,TS-NIV,1.0441019962059155
0.1,10000,TS-NIV,0.02014689436552901
0.1,50000,TS-NIV,0.004058934727387
0.5,100,TS-NIV,0.250294674363579
0.5,500,TS-NIV,0.10080297156330521
0.5,1000,TS-NIV,36.34193898474424
0.5,5000,TS-NIV,0.013986916689581517
0.5,10000,TS-NIV,0.012196573373730027
0.5,50000,TS-NIV,0.0029043851408940007
1.0,100,TS-NIV,54.98495033205737
1.0,500,TS-NIV,3.1417531037099957
1.0,1000,TS-NIV,0.0008717821560233982
1.0,5000,TS-NIV,0.03326845126455629
1.0,10000,TS-NIV,0.004637827397687073
1.0,50000,TS-NIV,0.0033575290590034373
0.0,100,TS-NIV,0.19405061290743464
0.0,500,TS-NIV,0.3107586366266991
0.0,1000,TS-NIV,5.551169178781077
0.0,5000,TS-NIV,1.4049489103824002
0.0,10000,TS-NIV,1.6313105751291765
0.0,50000,TS-NIV,29.83520878402151
0.01,100,TS-NIV,0.2912768292430209
0.01,500,TS-NIV,0.09967916343211444
0.01,1000,TS-NIV,0.05116926357150006
0.01,5000,TS-NIV,0.0036606367855101128
0.01,10000,TS-NIV,0.6605803560941603
0.01,50000,TS-NIV,0.07101947328978127
0.1,100,TS-NIV,0.02978101306680587
0.1,500,TS-NIV,22.672694965691456
0.1,1000,TS-NIV,28.159605996850786
0.1,5000,TS-NIV,0.38462366769504946
0.1,10000,TS-NIV,0.0829340344692375
0.1,50000,TS-NIV,13.136413409002678
0.5,100,TS-NIV,21.343702986198423
0.5,500,TS-NIV,0.011503511016760216
0.5,1000,TS-NIV,0.05351329856594507
0.5,5000,TS-NIV,1.8731160634388112e-06
0.5,10000,TS-NIV,0.00016351417998181284
0.5,50000,TS-NIV,2.2535098699691683e-05
1.0,100,TS-NIV,1.7674364055086735
1.0,500,TS-NIV,0.15084202851847003
1.0,1000,TS-NIV,11.7711396268568
1.0,5000,TS-NIV,0.3407151387084003
1.0,10000,TS-NIV,0.0011315323765207594
1.0,50000,TS-NIV,0.023011086241174702
0.0,100,TS-NIV,0.014805113265578426
0.0,500,TS-NIV,0.03787685853756278
0.0,1000,TS-NIV,1.4189970423371256
0.0,5000,TS-NIV,0.01957612972154156
0.0,10000,TS-NIV,0.00934955158360725
0.0,50000,TS-NIV,0.0410563027390601
0.01,100,TS-NIV,0.06425438199197558
0.01,500,TS-NIV,0.039979518057866786
0.01,1000,TS-NIV,135.0347552357382
0.01,5000,TS-NIV,0.039247764094890746
0.01,10000,TS-NIV,0.41144696026221994
0.01,50000,TS-NIV,0.05768133002170271
0.1,100,TS-NIV,0.37536821529786946
0.1,500,TS-NIV,45173.54091248337
0.1,1000,TS-NIV,0.09274858167152146
0.1,5000,TS-NIV,0.001166024925917147
0.1,10000,TS-NIV,1.2946912690686028
0.1,50000,TS-NIV,1.3604189892450047
0.5,100,TS-NIV,6.103369930704121
0.5,500,TS-NIV,5.6294107561278794
0.5,1000,TS-NIV,0.9553510429181894
0.5,5000,TS-NIV,0.07093640674733087
0.5,10000,TS-NIV,0.03446377414494484
0.5,50000,TS-NIV,0.007250615586830851
1.0,100,TS-NIV,0.06750784488446737
1.0,500,TS-NIV,0.017797635905121893
1.0,1000,TS-NIV,0.012637779460986485
1.0,5000,TS-NIV,7.002615378073285e-05
1.0,10000,TS-NIV,0.048184121171176236
1.0,50000,TS-NIV,0.006745659531095623
0.0,100,TS-NIV,66.31896823564233
0.0,500,TS-NIV,0.7033719862950687
0.0,1000,TS-NIV,3.4930210736410063
0.0,5000,TS-NIV,32.05356879913846
0.0,10000,TS-NIV,21.570660299460823
0.0,50000,TS-NIV,231.25953167455677
0.01,100,TS-NIV,11.005160175975753
0.01,500,TS-NIV,43.45294406330312
0.01,1000,TS-NIV,0.200382710019888
0.01,5000,TS-NIV,6.426885095767921
0.01,10000,TS-NIV,0.4204387335458043
0.01,50000,TS-NIV,0.20081029821932936
0.1,100,TS-NIV,0.014170906287226483
0.1,500,TS-NIV,0.05179964990126709
0.1,1000,TS-NIV,264.27593674439555
0.1,5000,TS-NIV,0.004856586442592257
0.1,10000,TS-NIV,0.7804778492680251
0.1,50000,TS-NIV,0.07841768017872239
0.5,100,TS-NIV,1.3785817043990378
0.5,500,TS-NIV,35.97865158061509
0.5,1000,TS-NIV,0.21325674046712886
0.5,5000,TS-NIV,0.17161435365182076
0.5,10000,TS-NIV,0.024215627054905754
0.5,50000,TS-NIV,1.3066506655706496
1.0,100,TS-NIV,1.1621629618629779
1.0,500,TS-NIV,0.007347761011203039
1.0,1000,TS-NIV,0.17932047282442165
1.0,5000,TS-NIV,0.0352053842449749
1.0,10000,TS-NIV,0.005059412078327824
1.0,50000,TS-NIV,0.01225512540681993
0.0,100,TS-NIV,21.13581378147017
0.0,500,TS-NIV,0.9361831084995
0.0,1000,TS-NIV,1.747292726949733
0.0,5000,TS-NIV,4.129673712396256
0.0,10000,TS-NIV,0.08017160357276791
0.0,50000,TS-NIV,3.293677745516207
0.01,100,TS-NIV,0.31975153657602795
0.01,500,TS-NIV,0.4893697532699701
0.01,1000,TS-NIV,0.015660603004759327
0.01,5000,TS-NIV,0.27201214011598607
0.01,10000,TS-NIV,1.515114175147421
0.01,50000,TS-NIV,1.70280351830468
0.1,100,TS-NIV,0.14190547842254725
0.1,500,TS-NIV,1.7619728673825157
0.1,1000,TS-NIV,2.3493542641091465
0.1,5000,TS-NIV,0.015884616665961374
0.1,10000,TS-NIV,0.005330036689384034
0.1,50000,TS-NIV,0.0005783574232370535
0.5,100,TS-NIV,40.61987061316271
0.5,500,TS-NIV,0.052450384148124946
0.5,1000,TS-NIV,0.11865856697366417
0.5,5000,TS-NIV,0.11590987910808223
0.5,10000,TS-NIV,0.11484141842034756
0.5,50000,TS-NIV,0.0013967356814620399
1.0,100,TS-NIV,0.01040336317187695
1.0,500,TS-NIV,0.00026907433432561505
1.0,1000,TS-NIV,0.004810104201232768
1.0,5000,TS-NIV,0.0010580279186985513
1.0,10000,TS-NIV,0.001479232846549074
1.0,50000,TS-NIV,2.0066954012317374e-05
0.0,100,TS-NIV,4.901767152405099
0.0,500,TS-NIV,3.3102097342709658
0.0,1000,TS-NIV,0.5665082939038207
0.0,5000,TS-NIV,0.5966854126442442
0.0,10000,TS-NIV,109.8600895007014
0.0,50000,TS-NIV,47.2289309096278
0.01,100,TS-NIV,0.20979890357413752
0.01,500,TS-NIV,0.0730565510730849
0.01,1000,TS-NIV,17.594977380862193
0.01,5000,TS-NIV,0.5630615904766338
0.01,10000,TS-NIV,1.8323495447279294
0.01,50000,TS-NIV,68.21300639218016
0.1,100,TS-NIV,0.08929528572866384
0.1,500,TS-NIV,19.112142563265934
0.1,1000,TS-NIV,0.060740496646389044
0.1,5000,TS-NIV,0.23698154860693493
0.1,10000,TS-NIV,0.002769099059251571
0.1,50000,TS-NIV,0.0008040398078142097
0.5,100,TS-NIV,0.11280348873234405
0.5,500,TS-NIV,0.027907245948865816
0.5,1000,TS-NIV,0.008831834173548433
0.5,5000,TS-NIV,0.03535503776120268
0.5,10000,TS-NIV,0.05661060257186426
0.5,50000,TS-NIV,1.958390599230025e-05
1.0,100,TS-NIV,0.3481348878116082
1.0,500,TS-NIV,1.471718829175109
1.0,1000,TS-NIV,0.12400987840776084
1.0,5000,TS-NIV,0.07176577018268278
1.0,10000,TS-NIV,1.799999773829549e-05
1.0,50000,TS-NIV,0.0071742609975612515
0.0,100,TS-NIV,1315251.7519232319
0.0,500,TS-NIV,0.08160936970552346
0.0,1000,TS-NIV,0.5947259469878534
0.0,5000,TS-NIV,5.960425625361847
0.0,10000,TS-NIV,29.449340088875402
0.0,50000,TS-NIV,0.9885655825772692
0.01,100,TS-NIV,7.715012543022076
0.01,500,TS-NIV,90.93699434937696
0.01,1000,TS-NIV,2.157751676470948
0.01,5000,TS-NIV,3.2132649859086464
0.01,10000,TS-NIV,33.47407024111119
0.01,50000,TS-NIV,23.70664328120605
0.1,100,TS-NIV,0.008899178820352646
0.1,500,TS-NIV,3.3743433169235955
0.1,1000,TS-NIV,9.750828217896778
0.1,5000,TS-NIV,0.3627163493210642
0.1,10000,TS-NIV,0.017192237224490186
0.1,50000,TS-NIV,0.02213322762095076
0.5,100,TS-NIV,8.217952909123436
0.5,500,TS-NIV,0.7002300682900312
0.5,1000,TS-NIV,0.17560098051955808
0.5,5000,TS-NIV,0.006619581286139831
0.5,10000,TS-NIV,0.08438737151310419
0.5,50000,TS-NIV,0.03344883202589222
